,,,0
種実類,らっかせいいり大粒種,Calorie_cal,585
種実類,らっかせいいり小粒種,Calorie_cal,585
種実類,らっかせいバターピーナッツ,Calorie_cal,592
種実類,らっかせいピーナッツバター,Calorie_cal,640
野菜類,アーティチョーク花らい生,Calorie_cal,48
野菜類,アーティチョーク花らいゆで,Calorie_cal,45
野菜類,あさつき葉生,Calorie_cal,33
野菜類,あさつき葉ゆで,Calorie_cal,39
野菜類,あしたば茎葉生,Calorie_cal,33
野菜類,あしたば茎葉ゆで,Calorie_cal,31
野菜類,アスパラガス若茎生,Calorie_cal,22
野菜類,アスパラガス若茎ゆで,Calorie_cal,24
野菜類,アスパラガス若茎油いため,Calorie_cal,57
野菜類,アスパラガス水煮缶詰,Calorie_cal,22
野菜類,アロエ葉生,Calorie_cal,3
野菜類,いんげんまめさやいんげん若ざや生,Calorie_cal,23
野菜類,いんげんまめさやいんげん若ざやゆで,Calorie_cal,26
野菜類,（うど類）うど茎生,Calorie_cal,18
野菜類,（うど類）うど茎水さらし,Calorie_cal,14
野菜類,（うど類）やまうど茎生,Calorie_cal,19
野菜類,えだまめ生,Calorie_cal,135
野菜類,えだまめゆで,Calorie_cal,134
野菜類,えだまめ冷凍,Calorie_cal,159
野菜類,エンダイブ葉生,Calorie_cal,15
野菜類,（えんどう類）トウミョウ茎葉生,Calorie_cal,27
野菜類,（えんどう類）トウミョウ芽ばえ生,Calorie_cal,24
野菜類,（えんどう類）トウミョウ芽ばえゆで,Calorie_cal,27
野菜類,（えんどう類）トウミョウ芽ばえ油いため,Calorie_cal,82
野菜類,（えんどう類）さやえんどう若ざや生,Calorie_cal,36
